timestamp,sensor_id,intersection_name,vehicle_count,average_speed_kmh,weather_condition
2026-04-09T12:18:32Z,SENS-007,Begumpet Flyover,81,36.4,Clear
2026-04-09T12:25:03Z,SENS-011,Mehdipatnam Bus Stand,37,55.49,Cloudy
2026-04-09T12:30:09Z,SENS-010,Secunderabad Clock Tower,38,34.97,Cloudy
2026-04-09T12:31:48Z,SENS-010,Secunderabad Clock Tower,41,47.84,Cloudy
2026-04-09T12:44:38Z,SENS-003,Ameerpet Crossroads,63,35.85,Heavy Rain
2026-04-09T12:46:45Z,SENS-004,Madhapur IT Corridor,71,30.37,Cloudy
2026-04-09T12:47:22Z,SENS-011,Mehdipatnam Bus Stand,67,23.42,Clear
2026-04-09T12:51:36Z,SENS-002,Gachibowli Junction,68,37.32,Light Rain
2026-04-09T12:58:36Z,SENS-004,Madhapur IT Corridor,67,12.88,Fog
2026-04-09T13:00:45Z,SENS-008,LB Nagar Crossroads,42,66.04,Clear
2026-04-09T13:02:03Z,SENS-007,Begumpet Flyover,62,55.56,Cloudy
2026-04-09T13:04:10Z,SENS-008,LB Nagar Crossroads,49,34.81,Light Rain
2026-04-09T13:06:01Z,SENS-002,Gachibowli Junction,55,48.55,Light Rain
2026-04-09T13:08:53Z,SENS-009,Kukatpally Housing Board,63,35.32,Light Rain
2026-04-09T13:09:23Z,SENS-004,Madhapur IT Corridor,60,60.52,Clear
2026-04-09T13:17:54Z,SENS-011,Mehdipatnam Bus Stand,86,35.53,Cloudy
2026-04-09T13:39:17Z,SENS-006,Hitech City Signal,60,26.64,Heavy Rain
2026-04-09T13:40:35Z,SENS-010,Secunderabad Clock Tower,51,18.56,Cloudy
2026-04-09T13:42:45Z,SENS-010,Secunderabad Clock Tower,61,39.47,Heavy Rain
2026-04-09T13:51:14Z,SENS-011,Mehdipatnam Bus Stand,44,18.46,Clear
2026-04-09T13:53:39Z,SENS-001,Jubilee Hills Checkpost,75,46.83,Light Rain
2026-04-09T13:56:34Z,SENS-007,Begumpet Flyover,36,16.17,Heavy Rain
2026-04-09T14:02:15Z,SENS-004,Madhapur IT Corridor,88,19.59,Clear
2026-04-09T14:10:50Z,SENS-011,Mehdipatnam Bus Stand,81,46.18,Cloudy
2026-04-09T14:17:12Z,SENS-002,Gachibowli Junction,38,40.37,Cloudy
2026-04-09T14:22:41Z,SENS-005,Tank Bund Road,31,69.25,Clear
2026-04-09T14:23:54Z,SENS-011,Mehdipatnam Bus Stand,78,36.61,Cloudy
2026-04-09T14:25:30Z,SENS-009,Kukatpally Housing Board,68,28.39,Clear
2026-04-09T14:27:18Z,SENS-005,Tank Bund Road,87,31.77,Clear
2026-04-09T14:28:03Z,SENS-011,Mehdipatnam Bus Stand,73,19.07,Light Rain
2026-04-09T14:38:09Z,SENS-007,Begumpet Flyover,65,50.9,Clear
2026-04-09T14:40:19Z,SENS-012,PVNR Expressway Toll,82,29.11,Cloudy
2026-04-09T14:41:02Z,SENS-007,Begumpet Flyover,36,35.8,Heavy Rain
2026-04-09T14:47:09Z,SENS-003,Ameerpet Crossroads,32,43.72,Cloudy
2026-04-09T14:47:56Z,SENS-008,LB Nagar Crossroads,56,32.29,Fog
2026-04-09T14:53:49Z,SENS-008,LB Nagar Crossroads,77,28.5,Clear
2026-04-09T14:54:27Z,SENS-012,PVNR Expressway Toll,76,37.11,Clear
2026-04-09T14:59:59Z,SENS-006,Hitech City Signal,41,31.07,Clear
2026-04-09T15:00:08Z,SENS-002,Gachibowli Junction,51,61.58,Clear
2026-04-09T15:00:12Z,SENS-012,PVNR Expressway Toll,32,54.21,Cloudy
2026-04-09T15:02:05Z,SENS-010,Secunderabad Clock Tower,30,19.14,Clear
2026-04-09T15:06:49Z,SENS-011,Mehdipatnam Bus Stand,89,28.77,Clear
2026-04-09T15:07:17Z,SENS-005,Tank Bund Road,72,16.66,Cloudy
2026-04-09T15:13:09Z,SENS-009,Kukatpally Housing Board,45,19.94,Heavy Rain
2026-04-09T15:15:59Z,SENS-007,Begumpet Flyover,76,45.66,Cloudy
2026-04-09T15:18:41Z,SENS-010,Secunderabad Clock Tower,32,25.83,Light Rain
2026-04-09T15:21:02Z,SENS-012,PVNR Expressway Toll,27,39.09,Drizzle
2026-04-09T15:22:32Z,SENS-011,Mehdipatnam Bus Stand,36,28.77,Heavy Rain
2026-04-09T15:23:13Z,SENS-009,Kukatpally Housing Board,77,40.71,Cloudy
2026-04-09T15:28:19Z,SENS-005,Tank Bund Road,59,31.56,Cloudy
2026-04-09T15:30:29Z,SENS-007,Begumpet Flyover,45,24.07,Clear
2026-04-09T15:31:47Z,SENS-005,Tank Bund Road,34,35.32,Clear
2026-04-09T15:31:57Z,SENS-009,Kukatpally Housing Board,80,42.69,Light Rain
2026-04-09T15:35:23Z,SENS-002,Gachibowli Junction,29,28.88,Cloudy
2026-04-09T15:41:14Z,SENS-005,Tank Bund Road,43,40.37,Light Rain
2026-04-09T15:49:03Z,SENS-005,Tank Bund Road,82,26.55,Clear
2026-04-09T15:50:20Z,SENS-012,PVNR Expressway Toll,47,37.67,Clear
2026-04-09T15:50:36Z,SENS-006,Hitech City Signal,65,15.5,Light Rain
2026-04-09T15:52:51Z,SENS-011,Mehdipatnam Bus Stand,30,50.69,Cloudy
2026-04-09T15:54:54Z,SENS-004,Madhapur IT Corridor,33,37.09,Light Rain
2026-04-09T16:03:43Z,SENS-007,Begumpet Flyover,49,30.1,Cloudy
2026-04-09T16:06:06Z,SENS-002,Gachibowli Junction,64,46.64,Cloudy
2026-04-09T16:07:43Z,SENS-010,Secunderabad Clock Tower,49,40.93,Clear
2026-04-09T16:12:59Z,SENS-007,Begumpet Flyover,57,40.43,Cloudy
2026-04-09T16:15:15Z,SENS-001,Jubilee Hills Checkpost,68,18.81,Cloudy
2026-04-09T16:17:01Z,SENS-007,Begumpet Flyover,64,39.36,Clear
2026-04-09T16:23:25Z,SENS-001,Jubilee Hills Checkpost,33,60.35,Clear
2026-04-09T16:25:06Z,SENS-007,Begumpet Flyover,44,26.67,Clear
2026-04-09T16:36:25Z,SENS-007,Begumpet Flyover,72,39.77,Light Rain
2026-04-09T16:36:58Z,SENS-004,Madhapur IT Corridor,45,30.97,Cloudy
2026-04-09T16:38:10Z,SENS-012,PVNR Expressway Toll,31,47.44,Clear
2026-04-09T16:40:19Z,SENS-010,Secunderabad Clock Tower,61,37.73,Clear
2026-04-09T16:47:21Z,SENS-006,Hitech City Signal,60,38.51,Drizzle
2026-04-09T16:50:29Z,SENS-001,Jubilee Hills Checkpost,39,43.42,Clear
2026-04-09T16:53:39Z,SENS-004,Madhapur IT Corridor,48,30.35,Cloudy
2026-04-09T16:54:17Z,SENS-008,LB Nagar Crossroads,57,17.61,Cloudy
2026-04-09T16:54:53Z,SENS-012,PVNR Expressway Toll,83,30.74,Clear
2026-04-09T16:55:52Z,SENS-002,Gachibowli Junction,30,28.18,Clear
2026-04-09T16:58:15Z,SENS-009,Kukatpally Housing Board,70,22.65,Light Rain
2026-04-09T17:02:04Z,SENS-003,Ameerpet Crossroads,101,13.13,Cloudy
2026-04-09T17:05:16Z,SENS-010,Secunderabad Clock Tower,100,40.17,Light Rain
2026-04-09T17:11:31Z,SENS-005,Tank Bund Road,163,23.48,Cloudy
2026-04-09T17:14:30Z,SENS-005,Tank Bund Road,91,37.55,Cloudy
2026-04-09T17:16:00Z,SENS-005,Tank Bund Road,72,41.37,Light Rain
2026-04-09T17:24:48Z,SENS-006,Hitech City Signal,112,16.87,Cloudy
2026-04-09T17:26:13Z,SENS-004,Madhapur IT Corridor,81,46.43,Clear
2026-04-09T17:27:19Z,SENS-007,Begumpet Flyover,110,11.66,Cloudy
2026-04-09T17:30:57Z,SENS-002,Gachibowli Junction,153,8.57,Clear
2026-04-09T17:32:25Z,SENS-006,Hitech City Signal,91,25.54,Cloudy
2026-04-09T17:32:48Z,SENS-010,Secunderabad Clock Tower,96,10.35,Heavy Rain
2026-04-09T17:38:03Z,SENS-001,Jubilee Hills Checkpost,152,23.94,Clear
2026-04-09T17:39:17Z,SENS-005,Tank Bund Road,175,20.97,Clear
2026-04-09T17:49:05Z,SENS-007,Begumpet Flyover,122,12.38,Cloudy
2026-04-09T18:00:33Z,SENS-012,PVNR Expressway Toll,110,21.0,Fog
2026-04-09T18:01:51Z,SENS-010,Secunderabad Clock Tower,149,11.96,Clear
2026-04-09T18:04:42Z,SENS-005,Tank Bund Road,136,30.43,Light Rain
2026-04-09T18:09:33Z,SENS-010,Secunderabad Clock Tower,137,28.5,Light Rain
2026-04-09T18:16:48Z,SENS-008,LB Nagar Crossroads,165,19.48,Cloudy
2026-04-09T18:19:55Z,SENS-007,Begumpet Flyover,123,14.95,Clear
2026-04-09T18:20:00Z,SENS-008,LB Nagar Crossroads,136,17.37,Clear
2026-04-09T18:27:13Z,SENS-008,LB Nagar Crossroads,166,7.86,Cloudy
2026-04-09T18:29:34Z,SENS-008,LB Nagar Crossroads,120,13.56,Clear
2026-04-09T18:46:20Z,SENS-010,Secunderabad Clock Tower,162,16.83,Light Rain
2026-04-09T18:46:35Z,SENS-004,Madhapur IT Corridor,144,25.49,Cloudy
2026-04-09T18:51:07Z,SENS-010,Secunderabad Clock Tower,133,24.04,Clear
2026-04-09T18:52:01Z,SENS-008,LB Nagar Crossroads,94,17.68,Clear
2026-04-09T18:52:12Z,SENS-006,Hitech City Signal,175,14.14,Clear
2026-04-09T18:52:47Z,SENS-002,Gachibowli Junction,194,17.5,Clear
2026-04-09T18:54:27Z,SENS-008,LB Nagar Crossroads,122,19.89,Clear
2026-04-09T18:54:28Z,SENS-010,Secunderabad Clock Tower,144,10.85,Fog
2026-04-09T18:58:23Z,SENS-005,Tank Bund Road,181,18.29,Cloudy
2026-04-09T19:06:57Z,SENS-001,Jubilee Hills Checkpost,179,19.24,Clear
2026-04-09T19:12:38Z,SENS-011,Mehdipatnam Bus Stand,81,32.84,Heavy Rain
2026-04-09T19:17:22Z,SENS-007,Begumpet Flyover,128,36.73,Clear
2026-04-09T19:22:35Z,SENS-005,Tank Bund Road,89,38.23,Light Rain
2026-04-09T19:34:49Z,SENS-010,Secunderabad Clock Tower,140,32.66,Clear
2026-04-09T19:34:54Z,SENS-008,LB Nagar Crossroads,196,23.82,Clear
2026-04-09T19:37:44Z,SENS-007,Begumpet Flyover,135,31.26,Clear
2026-04-09T19:37:49Z,SENS-001,Jubilee Hills Checkpost,100,17.9,Clear
2026-04-09T19:38:53Z,SENS-003,Ameerpet Crossroads,94,19.33,Cloudy
2026-04-09T19:42:31Z,SENS-003,Ameerpet Crossroads,169,7.22,Light Rain
2026-04-09T19:45:27Z,SENS-002,Gachibowli Junction,99,12.21,Cloudy
2026-04-09T19:48:19Z,SENS-007,Begumpet Flyover,195,9.24,Clear
2026-04-09T19:48:49Z,SENS-003,Ameerpet Crossroads,104,43.22,Cloudy
2026-04-09T20:05:37Z,SENS-006,Hitech City Signal,61,41.15,Clear
2026-04-09T20:08:58Z,SENS-009,Kukatpally Housing Board,89,18.28,Clear
2026-04-09T20:14:49Z,SENS-008,LB Nagar Crossroads,81,21.86,Drizzle
2026-04-09T20:15:44Z,SENS-004,Madhapur IT Corridor,27,29.71,Heavy Rain
2026-04-09T20:18:45Z,SENS-007,Begumpet Flyover,32,63.67,Clear
2026-04-09T20:27:00Z,SENS-010,Secunderabad Clock Tower,87,48.75,Clear
2026-04-09T20:28:16Z,SENS-004,Madhapur IT Corridor,83,15.89,Cloudy
2026-04-09T20:28:25Z,SENS-003,Ameerpet Crossroads,51,24.64,Fog
2026-04-09T20:30:31Z,SENS-005,Tank Bund Road,64,33.63,Fog
2026-04-09T20:42:17Z,SENS-005,Tank Bund Road,86,40.11,Clear
2026-04-09T20:45:02Z,SENS-002,Gachibowli Junction,89,35.19,Clear
2026-04-09T20:46:40Z,SENS-004,Madhapur IT Corridor,50,36.66,Heavy Rain
2026-04-09T20:48:55Z,SENS-003,Ameerpet Crossroads,29,52.71,Cloudy
2026-04-09T20:50:42Z,SENS-002,Gachibowli Junction,70,12.83,Fog
2026-04-09T20:51:20Z,SENS-001,Jubilee Hills Checkpost,30,63.79,Clear
2026-04-09T21:02:54Z,SENS-007,Begumpet Flyover,40,40.25,Drizzle
2026-04-09T21:10:15Z,SENS-002,Gachibowli Junction,70,42.43,Clear
2026-04-09T21:12:05Z,SENS-001,Jubilee Hills Checkpost,60,52.26,Cloudy
2026-04-09T21:15:06Z,SENS-004,Madhapur IT Corridor,83,14.62,Cloudy
2026-04-09T21:16:08Z,SENS-005,Tank Bund Road,37,24.62,Clear
2026-04-09T21:18:23Z,SENS-002,Gachibowli Junction,29,21.52,Fog
2026-04-09T21:30:13Z,SENS-010,Secunderabad Clock Tower,83,50.06,Clear
2026-04-09T21:31:10Z,SENS-012,PVNR Expressway Toll,72,45.15,Cloudy
2026-04-09T21:34:14Z,SENS-006,Hitech City Signal,40,39.05,Drizzle
2026-04-09T21:46:12Z,SENS-007,Begumpet Flyover,60,33.94,Cloudy
2026-04-09T21:47:47Z,SENS-004,Madhapur IT Corridor,59,56.15,Cloudy
2026-04-09T21:56:11Z,SENS-011,Mehdipatnam Bus Stand,83,30.62,Clear
2026-04-09T21:56:39Z,SENS-001,Jubilee Hills Checkpost,53,16.21,Fog
2026-04-09T21:57:43Z,SENS-010,Secunderabad Clock Tower,41,31.79,Fog
2026-04-09T21:58:31Z,SENS-005,Tank Bund Road,37,29.26,Light Rain
2026-04-09T21:58:51Z,SENS-001,Jubilee Hills Checkpost,72,20.95,Cloudy
